,Compound,Name,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,-0.0772,@BBC,0.823,0.095,0.082,Here’s my tuppence worth on how @BBC has been Royally cowed by Brexit: John Wittingdale is the missing link between… https://t.co/FPKsDvsg9t,1
1,-0.7587,@BBC,0.745,0.255,0.0,"RT @IslamismMap: Let’s not be like the @BBC, let’s call this what it is. A #Jewish woman murdered by an #Islamist. https://t.co/0O7tAWEGPj",2
2,0.0,@BBC,1.0,0.0,0.0,@Johnkamau7 @aref4950 @Jerome4Jesus1 @katyperry @Karimi_Karen @CNN @Heavensangel67 @Kambua @GraceMsalame… https://t.co/qlZDCGIA8N,3
3,0.4696,@BBC,0.847,0.0,0.153,RT @DonaldFrump: @Channel4News so can we expect the @bbc to cover this? perhaps a special feature on @bbcnewsnight #bbcnewsnight?,4
4,0.7269,@BBC,0.747,0.0,0.253,"RT @SteveLawrence_: Dear @BBC if you can’t report on stuff that interests me, like the manner in which the EU referendum was skewed, please…",5
5,0.0,@BBC,1.0,0.0,0.0,"RT @oldmanbigkid: @DonaldFrump @Channel4News @BBC @BBCNewsnight I've listened to three BBC radio 2 news broadcasts since this evidence, and…",6
6,0.3612,@BBC,0.737,0.0,0.263,@BBC’s guy in Moscow looks like Michael Bolton.,7
7,0.8979,@BBC,0.579,0.0,0.421,"RT @TheRAFClub: Wonderfully absorbing television this evening thanks to @McgColin &amp; @mcgregor_ewan @BBC revisiting great moments &amp; people,…",8
8,0.0,@BBC,1.0,0.0,0.0,RT @carolecadwalla: Last week's story about about Facebook? The one that wiped $79 billion off the stock price? It was dropped by @BBC's Pa…,9
9,0.0,@BBC,1.0,0.0,0.0,RT @htks8337: @sarutobi00 @saluyamasaruta @ABC @TIME @NBCNews @FoxNews @BBC @BBCNewsAsia @CBCNews @SkyNews これ、慰安婦問題と本質同じですね。慰安婦が日本人女性に変わってい…,10
10,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,11
11,0.0,@BBC,1.0,0.0,0.0,@aref4950 @Jerome4Jesus1 @Katyperry @Karimi_Karen @CNN @Heavensangel67 @Kambua @speedprayers @GraceMsalame… https://t.co/D0TSXerMa6,12
12,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,13
13,0.0,@BBC,1.0,0.0,0.0,@JRMCopeland @cdeaker @Robbie_Wallis1 @paul__johnson @BBCNews @BBC @Channel4News @afneil @AndrewMarr9… https://t.co/j1F0oqr60r,14
14,0.0,@BBC,1.0,0.0,0.0,"@STF_oficial VERGONHA do BRASIL,bandidos q tem PROVAS ROBUSTAS q cometem crimes,ficando tudo solto,ja quem nao tem… https://t.co/8rDDQNbhrP",15
15,0.7269,@BBC,0.747,0.0,0.253,"RT @SteveLawrence_: Dear @BBC if you can’t report on stuff that interests me, like the manner in which the EU referendum was skewed, please…",16
