,Compound,Name,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,0.4404,@CNN,0.854,0.0,0.146,Thanks #FakeNews--&gt; @ABC @CBSNews @NBCNews @CNN @MSNBC Your 🐂💩reports continue to remind me why I voted for @POTUS~… https://t.co/icViMUiXsq,201
1,0.0,@CNN,1.0,0.0,0.0,"RT @TechCrunch: Facebook CEO Mark Zuckerberg may end up finally going before Congress to testify amid a wave of privacy debacles, reports @…",202
2,-0.5106,@CNN,0.752,0.248,0.0,@CNN @CNNOpinion Clinton called us deplorable now CNN calls us dumb,203
3,-0.1779,@CNN,0.396,0.337,0.267,@Biglyness @CNN Stay special stupid biglyness.,204
4,0.3182,@CNN,0.905,0.0,0.095,"RT @CNN: The NRA insisted it did not use foreign funds for election-related purposes, even as the group acknowledged it accepts money from…",205
5,0.6369,@CNN,0.776,0.0,0.224,@ElderLansing @CNN @NRA Thank you for drawing attention to these issues. I feel as though the democrat party is wip… https://t.co/Z73owKeKBP,206
6,0.0,@CNN,1.0,0.0,0.0,"RT @TechCrunch: Facebook CEO Mark Zuckerberg may end up finally going before Congress to testify amid a wave of privacy debacles, reports @…",207
7,0.128,@CNN,0.786,0.096,0.118,"RT @CNN: New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28% https://t.co/Dsv7LUKRhG https…",208
8,0.8504,@CNN,0.66,0.0,0.34,@KimJongUn33 @CNN Oh Great Leader please tell us your secret? Is it maybe pooping in a gold toilet? Relieving all s… https://t.co/6aoo8dRJY2,209
9,0.0,@CNN,1.0,0.0,0.0,"@CNN Absolutely, follow the money.",210
10,-0.7425,@CNN,0.589,0.411,0.0,@gelenyarilez @rjkok2 @deanohess @CNN she look a hot flat ass fucking mess.,211
11,-0.5267,@CNN,0.764,0.236,0.0,@CNN Absolutely. Check the whole family’s. A criminal should not occupy the WH,212
12,0.0,@CNN,1.0,0.0,0.0,@CNN @realDonaldTrump @HillaryClinton @GovGaryJohnson @DrJillStein @EvanMcMillan2 @GOP I've posted the notion that… https://t.co/hsIicNBpy1,213
13,0.1877,@CNN,0.885,0.0,0.115,"@JFNYC1 @CNN And the msm keeps saying that Trump isn't tough enough on Russia
There's a way to be tough on them and… https://t.co/Ctnh9AQNLE",214
14,0.2177,@CNN,0.773,0.098,0.129,"RT @CNN: The Dow drops about 345 points, completely reversing a 244-point gain from early in the day, as tech stocks get crushed. The sello…",215
15,-0.4019,@CNN,0.847,0.153,0.0,"RT @ReaganBattalion: Another misleading @CNN headline. 

@MarcoRubio introduced the ‘Red Flag Bill’ BEFORE the march. https://t.co/xZN59n7V…",216
16,-0.308,@CNN,0.831,0.112,0.057,@BettyBowers You want fascism b/c the oligarchs control MSM and your jobs. Why most of you aren't respected for spe… https://t.co/rY3Yv4JMOY,217
17,0.4926,@CNN,0.84,0.0,0.16,@MarleyDuvaughn @CNN Always knew us tax payers would fund it. I'm fine with that. Finally my tax dollars will be well spent. MAGA BABY !,218
18,-0.5423,@CNN,0.857,0.143,0.0,@CNN @CNNOpinion so not allowing people who don't have the right to vote the right to vote is bad?  undereducated i… https://t.co/SlltZez0NJ,219
19,0.128,@CNN,0.786,0.096,0.118,"RT @CNN: New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28% https://t.co/Dsv7LUKRhG https…",220
20,0.7906,@CNN,0.741,0.0,0.259,"RT @CornellWBrooks: When a 97 year old retired Supreme Court Justice AND 17 year old high schoolers are ALL calling for #GunReformNow, its…",221
21,0.0,@CNN,1.0,0.0,0.0,RT @BenjaminNorton: @CNN  https://t.co/wGH9tcwpsr,222
22,0.0,@CNN,1.0,0.0,0.0,@CNN  https://t.co/0bNENLgiY8,223
23,-0.4215,@CNN,0.847,0.153,0.0,"@CNN , The screw U CNN, This was supposed to be about collusion, There is none he has every right to fire Muller no… https://t.co/VCEKGuvyhA",224
24,0.0,@CNN,1.0,0.0,0.0,RT @CNN: US Ambassador to the UN Nikki Haley on Russia: Their “blatantly false narratives will not keep us from telling the world about Rus…,225
25,0.128,@CNN,0.786,0.096,0.118,"RT @CNN: New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28% https://t.co/Dsv7LUKRhG https…",226
26,0.0,@CNN,1.0,0.0,0.0,@AnnieBoelyn @Kelly62u @CNN so what ?    I'm a horticulturalist ..  you got a Juris Doctor .. big flip .,227
27,0.128,@CNN,0.786,0.096,0.118,"RT @CNN: New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28% https://t.co/Dsv7LUKRhG https…",228
28,0.128,@CNN,0.786,0.096,0.118,"RT @CNN: New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28% https://t.co/Dsv7LUKRhG https…",229
29,0.0,@CNN,1.0,0.0,0.0,@THEFr15kyD1n90 @solo_man_i_a_c @FlyNerdy @KareemSears3 @CNN I didn’t say that?,230
30,0.128,@CNN,0.786,0.096,0.118,"RT @CNN: New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28% https://t.co/Dsv7LUKRhG https…",231
31,0.0,@CNN,1.0,0.0,0.0,@CNN How long does it take to do a phony investigation?,232
32,-0.5106,@CNN,0.842,0.158,0.0,RT @ElderLansing: One of these ignorant young so called activists said at the March for Our Lies( no misspell here folks) rally that guns d…,233
33,0.0,@CNN,1.0,0.0,0.0,@CNN  https://t.co/ybOq68LMtd,234
34,0.0,@CNN,1.0,0.0,0.0,@CNN someone needs to make a porno knock-off of the interview where Stormy makes Anderson heterosexual mid-interview.,235
35,0.0,@CNN,1.0,0.0,0.0,@MarcelFeraud @CNN  https://t.co/0klv1neyu8,236
36,0.0,@CNN,1.0,0.0,0.0,@RoadMN @foxandfriends @ffweekend @edhenry @PeteHegseth @HuntsmanAbby @CNN @SundayFutures @MariaBartiromo… https://t.co/R3LPxBGul5,237
37,0.0,@CNN,1.0,0.0,0.0,@CNN I don’t believe the 💩 the NRA is selling.,238
38,0.5209,@CNN,0.68,0.108,0.212,"RT @CNN: ""Never mind that an undereducated population is bad for democracy -- it's good for the GOP, and so Republicans are happy to embrac…",239
39,0.128,@CNN,0.786,0.096,0.118,"RT @CNN: New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28% https://t.co/Dsv7LUKRhG https…",240
40,0.0,@CNN,1.0,0.0,0.0,RT @CNN: US Ambassador to the UN Nikki Haley on Russia: Their “blatantly false narratives will not keep us from telling the world about Rus…,241
41,0.0,@CNN,1.0,0.0,0.0,RT @MRights1: @CNN More kids dying from drugs &amp; alcohol or mass shootings?  The kids on stage were not there for the deceased but for the @…,242
42,0.4767,@CNN,0.871,0.0,0.129,"RT @ryanstruyk: Here's a telling stat from today's brand new @CNN poll on Trump and 2018. This is Trump's approval rating among...

Voters…",243
43,-0.5106,@CNN,0.842,0.158,0.0,RT @ElderLansing: One of these ignorant young so called activists said at the March for Our Lies( no misspell here folks) rally that guns d…,244
44,-0.3612,@CNN,0.884,0.116,0.0,"RT @CNN: Multiple suspicious packages were sent to military locations in the Washington, DC, area, a law enforcement official says https://…",245
45,0.128,@CNN,0.786,0.096,0.118,"RT @CNN: New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28% https://t.co/Dsv7LUKRhG https…",246
46,0.3182,@CNN,0.901,0.0,0.099,"RT @CNN: Stormy Daniels' lawyer: Donald Trump isn’t speaking out about the affair allegations because “my client is telling the truth, and…",247
47,0.128,@CNN,0.786,0.096,0.118,"RT @CNN: New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28% https://t.co/Dsv7LUKRhG https…",248
48,0.128,@CNN,0.786,0.096,0.118,"RT @CNN: New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28% https://t.co/Dsv7LUKRhG https…",249
49,0.5209,@CNN,0.68,0.108,0.212,"RT @CNN: ""Never mind that an undereducated population is bad for democracy -- it's good for the GOP, and so Republicans are happy to embrac…",250
50,-0.5106,@CNN,0.842,0.158,0.0,RT @ElderLansing: One of these ignorant young so called activists said at the March for Our Lies( no misspell here folks) rally that guns d…,251
51,0.128,@CNN,0.786,0.096,0.118,"RT @CNN: New CNN/SSRS poll: Should Robert Mueller be able to investigate Trump’s finances?
- Yes 67%
- No 28% https://t.co/Dsv7LUKRhG https…",252
52,0.0,@CNN,1.0,0.0,0.0,"RT @TechCrunch: Facebook CEO Mark Zuckerberg may end up finally going before Congress to testify amid a wave of privacy debacles, reports @…",253
53,0.0,@CNN,1.0,0.0,0.0,@masonmiller2000 @diamondgirl2018 @CNN @POTUS Or what if my aunt had balls?  I guess she’d be my uncle. Although no… https://t.co/WAh1C5yDSX,254
54,0.3182,@CNN,0.905,0.0,0.095,"RT @CNN: The NRA insisted it did not use foreign funds for election-related purposes, even as the group acknowledged it accepts money from…",255
55,-0.296,@CNN,0.864,0.136,0.0,@CNN There's no there there according to one corrupt FBI agent. Tick tock though right?😉,256
56,0.1779,@CNN,0.936,0.0,0.064,"RT @CNN: As a young girl growing up in New Jersey in the wake of 9/11, Amani Al-Khatahtbeh concealed the fact that she was Muslim to avoid…",257
57,0.0,@CNN,1.0,0.0,0.0,RT @icecue: @CNN  https://t.co/Qj2spXc6gp,258
58,-0.5106,@CNN,0.842,0.158,0.0,RT @ElderLansing: One of these ignorant young so called activists said at the March for Our Lies( no misspell here folks) rally that guns d…,259
59,-0.4588,@CNN,0.875,0.125,0.0,@CNN @facebook  And the coward Zuckerberg is afraid to face the MP's in England and I believe he will weasel out of… https://t.co/P6wYtLtlqa,260
60,-0.4404,@CNN,0.628,0.251,0.121,"👏👏👏👏 BRAVO Morgan Freeman, for putting drunk moron @donlemon in his place. #CNNisFakeNews #QAnon #FakeNews @CNN https://t.co/MqoiaOi8lh",261
61,-0.5267,@CNN,0.726,0.274,0.0,@Labraid @cpgoodell @CNN I think you’re too stupid to understand democracy.,262
62,-0.5106,@CNN,0.842,0.158,0.0,RT @ElderLansing: One of these ignorant young so called activists said at the March for Our Lies( no misspell here folks) rally that guns d…,263
63,-0.0258,@CNN,0.775,0.114,0.111,"@AmyKremer Where did you go? After Roy Moore got defeated you fell off, now you're all over @CNN I'm glad you're ba… https://t.co/8beisMKlGH",264
