,Compound,Name,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,-0.296,@nytimes,0.913,0.087,0.0,RT @TheSteinLine: Here’s Dirk Nowitzki (@swish41) on his plans for next season — which would be No. 21 in a row with the Dallas Mavericks —…,401
1,-0.34,@nytimes,0.897,0.103,0.0,"RT @nytimes: In Opinion,
Isabelle Robinson, a senior at Marjory Stoneman Douglas High School, writes, ""The idea that we are to blame, even…",402
2,-0.34,@nytimes,0.897,0.103,0.0,"RT @nytimes: In Opinion,
Isabelle Robinson, a senior at Marjory Stoneman Douglas High School, writes, ""The idea that we are to blame, even…",403
3,0.0,@nytimes,1.0,0.0,0.0,@vejoefalomesmo @STF_oficial @guardian @BBC @elpais_brasil @teleSURtv @Reuters @nytimes @FranceONUGeneve @UN @CIDH… https://t.co/19oacyRknE,404
4,-0.296,@nytimes,0.891,0.109,0.0,@nytimes Anyone who puts heavy restrictions on transgender people serving in the military for no reason other than… https://t.co/TFtpFjlFZt,405
5,0.7506,@nytimes,0.782,0.0,0.218,"RT @DeadlineWH: ""By our count, and with the help of the excellent reporting of the @nytimes , Trump has lashed out at more than 430 targets…",406
6,0.7506,@nytimes,0.782,0.0,0.218,"RT @DeadlineWH: ""By our count, and with the help of the excellent reporting of the @nytimes , Trump has lashed out at more than 430 targets…",407
7,0.0,@nytimes,1.0,0.0,0.0,"RT @PoetryFound: Current U.S. poet laureate Tracy K. Smith talks to @nytimes about what's she's reading, including collections by @poetryma…",408
8,0.4939,@nytimes,0.84,0.0,0.16,RT @JustinMBibb: Thanks @WCPN for having me on this morning to discuss the recent @nytimes article on the challenges facing Black men in Am…,409
9,0.0,@nytimes,1.0,0.0,0.0,RT @safapou_cherie: @DeadlineWH @thomasboy_2 @nytimes @NicolleDWallace  https://t.co/awNnMQbrnd,410
10,-0.34,@nytimes,0.897,0.103,0.0,"RT @nytimes: In Opinion,
Isabelle Robinson, a senior at Marjory Stoneman Douglas High School, writes, ""The idea that we are to blame, even…",411
11,0.0,@nytimes,1.0,0.0,0.0,RT @safapou_cherie: @DeadlineWH @thomasboy_2 @nytimes @NicolleDWallace  https://t.co/rEFMzTFVUl,412
12,0.7506,@nytimes,0.782,0.0,0.218,"RT @DeadlineWH: ""By our count, and with the help of the excellent reporting of the @nytimes , Trump has lashed out at more than 430 targets…",413
13,0.5859,@nytimes,0.78,0.0,0.22,RT @rodgarbo: @J_A_P_A_C_S @delaneytarr @joanwalsh @nytimes See the comments above for a scroll of the story.  Truly worth the read.,414
14,0.0,@nytimes,1.0,0.0,0.0,"RT @nytimes: Lieutenant Davidson left behind a wife and four young children, and came from a family of firefighters, with his father and br…",415
15,0.0,@nytimes,1.0,0.0,0.0,RT @safapou_cherie: @DeadlineWH @thomasboy_2 @nytimes @NicolleDWallace  https://t.co/HBxEn30a0l,416
16,-0.8225,@nytimes,0.677,0.323,0.0,RT @nytimes: A fatal helicopter crash in New York’s East River may have been caused by a passenger’s harness accidentally tripping the emer…,417
17,0.0,@nytimes,1.0,0.0,0.0,RT @_s_r_xavi: @sergipinkman @guardian @BBCWorld @Le_Figaro @DerSPIEGEL @thetimes @FT @BILD @LaStampa @Corriere @repubblica @Reuters @nytim…,418
18,-0.1779,@nytimes,0.876,0.124,0.0,"@TweetBrettMac @DebbieLichtenst @Balde_Moto @21stCenturyM1L @nytimes Also, seriously, go *fuck* yourself. You claim… https://t.co/HWD0WMXQ90",419
19,-0.0516,@nytimes,0.798,0.107,0.095,Well the @BBCNews are trying to ignore this story but it's in the @nytimes... https://t.co/eFc9JwTo3M,420
20,0.0,@nytimes,1.0,0.0,0.0,"""Apple Unveils New iPad to Catch Google in the Classroom"" via @NYTimes https://t.co/hiAAKdZmfa",421
21,-0.8126,@nytimes,0.682,0.318,0.0,"RT @nytimes: Why are the Parkland students being attacked? “Together we kind of form an unstoppable force that terrifies them."" https://t.c…",422
22,0.0,@nytimes,1.0,0.0,0.0,"RT @JoeLex5: @gruntdoc @reepRN @jeremyfaust @nytimes The other rule is “If I come in with a stroke, give me tPa and then do a head CT.  If…",423
23,0.7506,@nytimes,0.782,0.0,0.218,"RT @DeadlineWH: ""By our count, and with the help of the excellent reporting of the @nytimes , Trump has lashed out at more than 430 targets…",424
24,-0.8271,@nytimes,0.661,0.339,0.0,The Post-World War II Order Is Under Assault From the Powers That Built It   via @NYTimes https://t.co/hO7q0vWjbz,425
25,0.2732,@nytimes,0.711,0.123,0.166,@TheRealDSuggs @DouthatNYT How sad is it that liberals think working for the @nytimes is the best job in the world?,426
26,0.0,@nytimes,1.0,0.0,0.0,@nytimes She's a fukyn 'DIOT!!!,427
27,-0.296,@nytimes,0.913,0.087,0.0,RT @TheSteinLine: Here’s Dirk Nowitzki (@swish41) on his plans for next season — which would be No. 21 in a row with the Dallas Mavericks —…,428
28,-0.4466,@nytimes,0.853,0.147,0.0,"RT @17jordani: NO ES VENEZUELA, ES BARCELONA ESPAÑA Y LA VIOLENCIA POLICIAL @ListinDiario 
@nytimes 
@CNNEE 
@CNN 
@bbcmundo
@teleSURtv
@gu…",429
29,0.7506,@nytimes,0.782,0.0,0.218,"RT @DeadlineWH: ""By our count, and with the help of the excellent reporting of the @nytimes , Trump has lashed out at more than 430 targets…",430
30,0.0,@nytimes,1.0,0.0,0.0,@jaumeclotet @nytimes Pam !! 👏👏👏,431
31,0.4449,@nytimes,0.878,0.0,0.122,@DHagensten @nytimes You aren't the President - you can't just make shit up and not have people call you on it.  Th… https://t.co/6RowOexbmz,432
32,-0.2755,@nytimes,0.883,0.117,0.0,@nytimes Unfortunalety Europe is not ready to take over or to lead nor is any European country,433
33,-0.34,@nytimes,0.897,0.103,0.0,"RT @nytimes: In Opinion,
Isabelle Robinson, a senior at Marjory Stoneman Douglas High School, writes, ""The idea that we are to blame, even…",434
34,-0.886,@nytimes,0.701,0.299,0.0,"RT @nytimes: He was wrongfully convicted of rape and murder and spent 23 years behind bars. This week, he returned to work as a groundskeep…",435
35,0.0,@nytimes,1.0,0.0,0.0,RT @Santi_ABASCAL: @RaphaelMinder @ivanedlm @boye_g @Ortega_Smith Curiosa determinación del corresponsal del @nytimes por eludir las activi…,436
36,0.5773,@nytimes,0.801,0.0,0.199,RT @sanchezdelreal: @ivanedlm @RaphaelMinder @boye_g @Ortega_Smith Not only that. By deliberately not mentioning terrorist background from…,437
37,0.0,@nytimes,1.0,0.0,0.0,New Medicare Opioid Limits Face Blowback From Doctors   via @NYTimes https://t.co/yYnnhhwmxK,438
38,-0.7906,@nytimes,0.652,0.348,0.0,"@razibkhan lost his job at @nytimes for talking about (race is real)  issue. @JenniferRaff u r shameless liar. 
I h… https://t.co/C48MKECwBS",439
39,0.3818,@nytimes,0.852,0.0,0.148,@PoliticalTheory @Ohpainterswife @nytimes Assuming every civilian household would be unified against the gov (if ar… https://t.co/849Qyoq6bo,440
40,0.5773,@nytimes,0.801,0.0,0.199,RT @sanchezdelreal: @ivanedlm @RaphaelMinder @boye_g @Ortega_Smith Not only that. By deliberately not mentioning terrorist background from…,441
41,-0.34,@nytimes,0.821,0.179,0.0,"Arrest of Catalan Leader Tests Spain, Separatists and E.U.   via @NYTimes https://t.co/zOQLhwFhlu",442
